data,label,X,Y,Z,Classification
Will the increase of pilot strike cause volcanic ash during flight cancellation?,No,pilot strike,volcanic ash,flight cancellation,B_D
Will the increase of wire snap cause light off and the increase of bulb dead cause light off?,Yes,wire snap,bulb dead,light off,B_D
Will the increase of bulb loose cause fuse blow during light off?,No,bulb loose,fuse blow,light off,B_D
Will the increase of venue flood cause show cancellation and the increase of permit dispute cause show cancellation?,Yes,venue flood,permit dispute,show cancellation,B_D
Will the increase of router misconfig cause fiber cut during network outage?,No,router misconfig,fiber cut,network outage,B_D
Will the increase of database corruption cause system downtime and the increase of license expiry cause system downtime?,Yes,database corruption,license expiry,system downtime,B_D
Will the increase of billing error cause fraud alert during checkout failure?,No,billing error,fraud alert,checkout failure,B_D
Will the increase of strong wind cause branch fall and the increase of old tree cause branch fall?,Yes,strong wind,old tree,branch fall,B_D
Will the increase of lock jam cause key loss during entry delay?,No,lock jam,key loss,entry delay,B_D
Will the increase of printer jam cause print delay and the increase of wifi outage cause print delay?,Yes,printer jam,wifi outage,print delay,B_D
Will the increase of sensor failure cause coolant leak during engine shutdown?,No,sensor failure,coolant leak,engine shutdown,B_D
Will the increase of pollen surge cause sneezing episode and the increase of dust exposure cause sneezing episode?,Yes,pollen surge,dust exposure,sneezing episode,B_D
Will the increase of stage damage cause permit dispute during concert cancellation?,No,stage damage,permit dispute,concert cancellation,B_D
Will the increase of referee absence cause game postponement and the increase of thunderstorm risk cause game postponement?,Yes,referee absence,thunderstorm risk,game postponement,B_D
Will the increase of vendor recall cause shipping damage during product return?,No,vendor recall,shipping damage,product return,B_D
Will the increase of payment outage cause order cancellation and the increase of inventory error cause order cancellation?,Yes,payment outage,inventory error,order cancellation,B_D
Will the increase of road ice cause fog bank during slow drive?,No,road ice,fog bank,slow drive,B_D
Will the increase of camera failure cause gate slowdown and the increase of badge outage cause gate slowdown?,Yes,camera failure,badge outage,gate slowdown,B_D
Will the increase of power surge cause firmware bug during device reboot?,No,power surge,firmware bug,device reboot,B_D
Will the increase of courier shortage cause delivery delay and the increase of address error cause delivery delay?,Yes,courier shortage,address error,delivery delay,B_D
Will the increase of ingredient shortage cause oven failure during bakery closure?,No,ingredient shortage,oven failure,bakery closure,B_D
Will the increase of speaker failure cause lecture cancellation and the increase of projector fault cause lecture cancellation?,Yes,speaker failure,projector fault,lecture cancellation,B_D
