data,label,X,Y,Z,Classification
Will the increase of umbrella sales cause traffic jams during monsoon season?,No,umbrella sales,traffic jams,monsoon season,B_D
Will canyon trek cause the increase of hiking boot rentals and rescue drone flights?,Yes,hiking boot rentals,rescue drone flights,canyon trek,B_D
Will the increase of accounting software subscriptions cause stress complaints during tax season?,No,accounting software subscriptions,stress complaints,tax season,B_D
Will jazz festival cause the increase of concert program sales and subway maintenance alerts?,Yes,concert program sales,subway maintenance alerts,jazz festival,B_D
Will the increase of campus cafeteria sales cause parking violations during university orientation?,No,campus cafeteria sales,parking violations,university orientation,B_D
Will stargazing festival cause the increase of astronomy telescope sales and dark sky complaints?,Yes,astronomy telescope sales,dark sky complaints,stargazing festival,B_D
Will the increase of farm equipment rentals cause rural traffic congestion during harvest season?,No,farm equipment rentals,rural traffic congestion,harvest season,B_D
Will street crafts fair cause the increase of handmade jewelry sales and police permit checks?,Yes,handmade jewelry sales,police permit checks,street crafts fair,B_D
Will the increase of car rentals cause highway bottlenecks during commuter rail strike?,No,car rentals,highway bottlenecks,commuter rail strike,B_D
Will outdoor influencer meetup cause the increase of smartphone tripod sales and lost item claims?,Yes,smartphone tripod sales,lost item claims,outdoor influencer meetup,B_D
Will the increase of bicycle commuting cause detour traffic reports during road maintenance?,No,bicycle commuting,detour traffic reports,road maintenance,B_D
Will coastal food market week cause the increase of seafood stall sales and food recall warnings?,Yes,seafood stall sales,food recall warnings,coastal food market week,B_D
Will the increase of smartphone purchases cause mall crowding complaints during new smartphone launch?,No,smartphone purchases,mall crowding complaints,new smartphone launch,B_D
Will retro fashion expo cause the increase of vintage clothing sales and storage overflow notices?,Yes,vintage clothing sales,storage overflow notices,retro fashion expo,B_D
Will the increase of hotel conference room bookings cause airport taxi queues during major conference?,No,hotel conference room bookings,airport taxi queues,major conference,B_D
Will derby rivalry cause the increase of football scarf sales and train station reroutes?,Yes,football scarf sales,train station reroutes,derby rivalry,B_D
Will the increase of museum visits cause gallery wait times during art biennale?,No,museum visits,gallery wait times,art biennale,B_D
Will renewable energy fair cause the increase of solar water heater purchases and roof leak reports?,Yes,solar water heater purchases,roof leak reports,renewable energy fair,B_D
Will the increase of public transit rides cause polling station parking shortages during local election day?,No,public transit rides,polling station parking shortages,local election day,B_D
Will online gaming marathon cause the increase of e-sport chair sales and power strip failures?,Yes,e-sport chair sales,power strip failures,online gaming marathon,B_D
Will the increase of space heater purchases cause frozen pipe incidents during cold snap?,No,space heater purchases,frozen pipe incidents,cold snap,B_D
Will coastal surf festival cause the increase of surfboard sales and injury clinic visits?,Yes,surfboard sales,injury clinic visits,coastal surf festival,B_D
Will the increase of fog light purchases cause fender-bender accidents during heavy fog mornings?,No,fog light purchases,fender-bender accidents,heavy fog mornings,B_D
Will plastic-free month cause the increase of eco-bag sales and scanning delays?,Yes,eco-bag sales,scanning delays,plastic-free month,B_D
Will the increase of gasoline purchases cause emergency shelter check-ins during hurricane evacuation advisory?,No,gasoline purchases,emergency shelter check-ins,hurricane evacuation advisory,B_D
Will virtual reality showcase cause the increase of VR headset rentals and dizziness reports?,Yes,VR headset rentals,dizziness reports,virtual reality showcase,B_D
Will the increase of air purifier sales cause respiratory clinic visits during air quality alerts?,No,air purifier sales,respiratory clinic visits,air quality alerts,B_D
Will children carnival cause the increase of ice cream truck visits and traffic control posts?,Yes,ice cream truck visits,traffic control posts,children carnival,B_D
Will the increase of rain barrel sales cause lawn watering fines during drought restrictions?,No,rain barrel sales,lawn watering fines,drought restrictions,B_D
Will reef diving festival cause the increase of diving mask sales and coral damage reports?,Yes,diving mask sales,coral damage reports,reef diving festival,B_D
Will the increase of compost bin purchases cause overflowing trash complaints during garbage collection delays?,No,compost bin purchases,overflowing trash complaints,garbage collection delays,B_D
Will outdoor cooking event cause the increase of camping stove rentals and gas leak alerts?,Yes,camping stove rentals,gas leak alerts,outdoor cooking event,B_D
Will the increase of team merchandise sales cause stadium traffic backups during school sports championship?,No,team merchandise sales,stadium traffic backups,school sports championship,B_D
Will family expo cause the increase of childrens toy sales and missing child announcements?,Yes,childrens toy sales,missing child announcements,family expo,B_D
Will the increase of garden soil sales cause nursery checkout lines during spring planting season?,No,garden soil sales,nursery checkout lines,spring planting season,B_D
Will summer regatta cause the increase of boat rental requests and rescue siren calls?,Yes,boat rental requests,rescue siren calls,summer regatta,B_D
Will the increase of local craft market sales cause package delivery delays during shipping strike?,No,local craft market sales,package delivery delays,shipping strike,B_D
Will travel photography expo cause the increase of photography tripod purchases and luggage delays?,Yes,photography tripod purchases,luggage delays,travel photography expo,B_D
Will the increase of generic brand purchases cause product stockouts during supply chain disruptions?,No,generic brand purchases,product stockouts,supply chain disruptions,B_D
Will health food convention cause the increase of smoothie bar sales and refrigeration failures?,Yes,smoothie bar sales,refrigeration failures,health food convention,B_D
Will the increase of fresh produce sales cause street vendor permit checks during farmers market opening?,No,fresh produce sales,street vendor permit checks,farmers market opening,B_D
Will mountain trek festival cause the increase of hiking tent sales and flood warnings?,Yes,hiking tent sales,flood warnings,mountain trek festival,B_D
Will the increase of printer paper purchases cause late-night lab usage during college application deadline?,No,printer paper purchases,late-night lab usage,college application deadline,B_D
Will costume parade cause the increase of children costume sales and safety code violations?,Yes,children costume sales,safety code violations,costume parade,B_D
Will the increase of LED bulb purchases cause energy bill inquiries during electricity rate hike month?,No,LED bulb purchases,energy bill inquiries,electricity rate hike month,B_D
Will mindfulness retreat cause the increase of meditation cushion sales and stairwell crowding?,Yes,meditation cushion sales,stairwell crowding,mindfulness retreat,B_D
Will the increase of nasal spray sales cause sick note requests during peak allergy index week?,No,nasal spray sales,sick note requests,peak allergy index week,B_D
Will inline skating event cause the increase of rollerblade rentals and first aid reports?,Yes,rollerblade rentals,first aid reports,inline skating event,B_D
Will the increase of bike rentals cause car lane congestion during citywide bike-to-work day?,No,bike rentals,car lane congestion,citywide bike-to-work day,B_D
Will kitchen appliance expo cause the increase of ice maker sales and water line breaks?,Yes,ice maker sales,water line breaks,kitchen appliance expo,B_D
Will the increase of sunscreen purchases cause ferry delays during coastal holiday?,No,sunscreen purchases,ferry delays,coastal holiday,B_D
Will folk fusion festival cause the increase of electric violin sales and sound check delays?,Yes,electric violin sales,sound check delays,folk fusion festival,B_D
Will the increase of raincoat sales cause bus stop flooding reports during tropical storm watch?,No,raincoat sales,bus stop flooding reports,tropical storm watch,B_D
Will digital heritage month cause the increase of virtual museum ticket sales and streaming buffer issues?,Yes,virtual museum ticket sales,streaming buffer issues,digital heritage month,B_D
Will the increase of hiking boot sales cause rescue calls during mountain trail reopening?,No,hiking boot sales,rescue calls,mountain trail reopening,B_D
Will marine awareness cause the increase of snorkeling gear sales and coral protection warnings?,Yes,snorkeling gear sales,coral protection warnings,marine awareness,B_D
Will the increase of gym signups cause office absenteeism during new year resolution season?,No,gym signups,office absenteeism,new year resolution season,B_D
Will tropical fruit carnival cause the increase of fresh juice stall sales and refrigeration shortages?,Yes,fresh juice stall sales,refrigeration shortages,tropical fruit carnival,B_D
Will the increase of drone purchases cause wildlife disturbance reports during outdoor photography contest?,No,drone purchases,wildlife disturbance reports,outdoor photography contest,B_D
Will sports derby cause the increase of roller derby ticket sales and first responder callouts?,Yes,roller derby ticket sales,first responder callouts,sports derby,B_D
Will the increase of flower bouquet sales cause traffic police deployments during valentine?,No,flower bouquet sales,traffic police deployments,valentine,B_D
Will animation expo cause the increase of digital sketchpad sales and power cord shortages?,Yes,digital sketchpad sales,power cord shortages,animation expo,B_D
Will the increase of cooking oil sales cause fire department warnings during festive cooking?,No,cooking oil sales,fire department warnings,festive cooking,B_D
Will city nightlife cause the increase of rooftop bar entries and traffic checkpoint delays?,Yes,rooftop bar entries,traffic checkpoint delays,city nightlife,B_D
Will the increase of candy sales cause dentist appointments during halloween?,No,candy sales,dentist appointments,halloween,B_D
Will international food expo cause the increase of gourmet cheese purchases and customs inspection delays?,Yes,gourmet cheese purchases,customs inspection delays,international food expo,B_D
Will the increase of turkey purchases cause oven repair calls during thanksgiving dinner week?,No,turkey purchases,oven repair calls,thanksgiving dinner week,B_D
Will archery showcase cause the increase of archery set sales and range safety warnings?,Yes,archery set sales,range safety warnings,archery showcase,B_D
Will the increase of fruit basket sales cause delivery truck breakdowns during lunar new year?,No,fruit basket sales,delivery truck breakdowns,lunar new year,B_D
Will summer kite rally cause the increase of kite purchases and rope entanglement reports?,Yes,kite purchases,rope entanglement reports,summer kite rally,B_D
Will the increase of school uniform sales cause long cashier lines during school reopening month?,No,school uniform sales,long cashier lines,school reopening month,B_D
Will auto innovation week cause the increase of car simulator rentals and electrical fuse replacements?,Yes,car simulator rentals,electrical fuse replacements,auto innovation week,B_D
Will the increase of surfboard rentals cause ambulance calls during beach surfing competition?,No,surfboard rentals,ambulance calls,beach surfing competition,B_D
Will remote education summit cause the increase of virtual classroom logins and password reset spikes?,Yes,virtual classroom logins,password reset spikes,remote education summit,B_D
Will the increase of hiking backpack sales cause bus rescheduling during mountain music festival?,No,hiking backpack sales,bus rescheduling,mountain music festival,B_D
Will open street weekend cause the increase of street food cart sales and waste disposal warnings?,Yes,street food cart sales,waste disposal warnings,open street weekend,B_D
