Pair,Causal_Relation_1,Conclusion_1,Causal_Relation_2,Conclusion_2,Classification,X,Y,Z
1,Will the increase of pilot strike cause volcanic ash during flight cancellation?,No,Will the increase of pilot strike cause flight cancellation and the increase of volcanic ash cause flight cancellation?,Yes,B_D,pilot strike,volcanic ash,flight cancellation
2,Will the increase of wire snap cause bulb dead during light off?,No,Will the increase of wire snap cause light off and the increase of bulb dead cause light off?,Yes,B_D,wire snap,bulb dead,light off
3,Will the increase of bulb loose cause fuse blow during light off?,No,Will the increase of bulb loose cause light off and the increase of fuse blow cause light off?,Yes,B_D,bulb loose,fuse blow,light off
4,Will the increase of venue flood cause permit dispute during show cancellation?,No,Will the increase of venue flood cause show cancellation and the increase of permit dispute cause show cancellation?,Yes,B_D,venue flood,permit dispute,show cancellation
5,Will the increase of router misconfig cause fiber cut during network outage?,No,Will the increase of router misconfig cause network outage and the increase of fiber cut cause network outage?,Yes,B_D,router misconfig,fiber cut,network outage
6,Will the increase of database corruption cause license expiry during system downtime?,No,Will the increase of database corruption cause system downtime and the increase of license expiry cause system downtime?,Yes,B_D,database corruption,license expiry,system downtime
7,Will the increase of billing error cause fraud alert during checkout failure?,No,Will the increase of billing error cause checkout failure and the increase of fraud alert cause checkout failure?,Yes,B_D,billing error,fraud alert,checkout failure
8,Will the increase of strong wind cause old tree during branch fall?,No,Will the increase of strong wind cause branch fall and the increase of old tree cause branch fall?,Yes,B_D,strong wind,old tree,branch fall
9,Will the increase of lock jam cause key loss during entry delay?,No,Will the increase of lock jam cause entry delay and the increase of key loss cause entry delay?,Yes,B_D,lock jam,key loss,entry delay
10,Will the increase of printer jam cause wifi outage during print delay?,No,Will the increase of printer jam cause print delay and the increase of wifi outage cause print delay?,Yes,B_D,printer jam,wifi outage,print delay
11,Will the increase of sensor failure cause coolant leak during engine shutdown?,No,Will the increase of sensor failure cause engine shutdown and the increase of coolant leak cause engine shutdown?,Yes,B_D,sensor failure,coolant leak,engine shutdown
12,Will the increase of pollen surge cause dust exposure during sneezing episode?,No,Will the increase of pollen surge cause sneezing episode and the increase of dust exposure cause sneezing episode?,Yes,B_D,pollen surge,dust exposure,sneezing episode
13,Will the increase of stage damage cause permit dispute during concert cancellation?,No,Will the increase of stage damage cause concert cancellation and the increase of permit dispute cause concert cancellation?,Yes,B_D,stage damage,permit dispute,concert cancellation
14,Will the increase of referee absence cause thunderstorm risk during game postponement?,No,Will the increase of referee absence cause game postponement and the increase of thunderstorm risk cause game postponement?,Yes,B_D,referee absence,thunderstorm risk,game postponement
15,Will the increase of vendor recall cause shipping damage during product return?,No,Will the increase of vendor recall cause product return and the increase of shipping damage cause product return?,Yes,B_D,vendor recall,shipping damage,product return
16,Will the increase of payment outage cause inventory error during order cancellation?,No,Will the increase of payment outage cause order cancellation and the increase of inventory error cause order cancellation?,Yes,B_D,payment outage,inventory error,order cancellation
17,Will the increase of road ice cause fog bank during slow drive?,No,Will the increase of road ice cause slow drive and the increase of fog bank cause slow drive?,Yes,B_D,road ice,fog bank,slow drive
18,Will the increase of camera failure cause badge outage during gate slowdown?,No,Will the increase of camera failure cause gate slowdown and the increase of badge outage cause gate slowdown?,Yes,B_D,camera failure,badge outage,gate slowdown
19,Will the increase of power surge cause firmware bug during device reboot?,No,Will the increase of power surge cause device reboot and the increase of firmware bug cause device reboot?,Yes,B_D,power surge,firmware bug,device reboot
20,Will the increase of courier shortage cause address error during delivery delay?,No,Will the increase of courier shortage cause delivery delay and the increase of address error cause delivery delay?,Yes,B_D,courier shortage,address error,delivery delay
21,Will the increase of ingredient shortage cause oven failure during bakery closure?,No,Will the increase of ingredient shortage cause bakery closure and the increase of oven failure cause bakery closure?,Yes,B_D,ingredient shortage,oven failure,bakery closure
22,Will the increase of speaker failure cause projector fault during lecture cancellation?,No,Will the increase of speaker failure cause lecture cancellation and the increase of projector fault cause lecture cancellation?,Yes,B_D,speaker failure,projector fault,lecture cancellation
23,Will the increase of staffing shortage cause equipment breakdown during clinic closure?,No,Will the increase of staffing shortage cause clinic closure and the increase of equipment breakdown cause clinic closure?,Yes,B_D,staffing shortage,equipment breakdown,clinic closure
24,Will the increase of principal amount cause time period during interest accrual?,No,Will the increase of principal amount cause interest accrual and the increase of time period cause interest accrual?,Yes,B_D,principal amount,time period,interest accrual
25,Will the increase of bug swarm cause dry heat during crop fail?,No,Will the increase of bug swarm cause crop fail and the increase of dry heat cause crop fail?,Yes,B_D,bug swarm,dry heat,crop fail
26,Will the increase of inspection failure cause lease dispute during building closure?,No,Will the increase of inspection failure cause building closure and the increase of lease dispute cause building closure?,Yes,B_D,inspection failure,lease dispute,building closure
27,Will the increase of cable theft cause config error during service interruption?,No,Will the increase of cable theft cause service interruption and the increase of config error cause service interruption?,Yes,B_D,cable theft,config error,service interruption
28,Will the increase of supply shortage cause machine breakdown during factory shutdown?,No,Will the increase of supply shortage cause factory shutdown and the increase of machine breakdown cause factory shutdown?,Yes,B_D,supply shortage,machine breakdown,factory shutdown
29,Will the increase of language barrier cause visa delay during travel cancellation?,No,Will the increase of language barrier cause travel cancellation and the increase of visa delay cause travel cancellation?,Yes,B_D,language barrier,visa delay,travel cancellation
30,Will the increase of engine failure cause harbor closure during ferry cancellation?,No,Will the increase of engine failure cause ferry cancellation and the increase of harbor closure cause ferry cancellation?,Yes,B_D,engine failure,harbor closure,ferry cancellation
31,Will the increase of bad food cause virus bug during stomach pain?,No,Will the increase of bad food cause stomach pain and the increase of virus bug cause stomach pain?,Yes,B_D,bad food,virus bug,stomach pain
32,Will the increase of headset shortage cause microphone fault during webinar cancellation?,No,Will the increase of headset shortage cause webinar cancellation and the increase of microphone fault cause webinar cancellation?,Yes,B_D,headset shortage,microphone fault,webinar cancellation
33,Will the increase of data breach cause compliance audit during site shutdown?,No,Will the increase of data breach cause site shutdown and the increase of compliance audit cause site shutdown?,Yes,B_D,data breach,compliance audit,site shutdown
34,Will the increase of insect swarm cause smoke fumes during picnic cancellation?,No,Will the increase of insect swarm cause picnic cancellation and the increase of smoke fumes cause picnic cancellation?,Yes,B_D,insect swarm,smoke fumes,picnic cancellation
35,Will the increase of tire puncture cause brake lock during car stop?,No,Will the increase of tire puncture cause car stop and the increase of brake lock cause car stop?,Yes,B_D,tire puncture,brake lock,car stop
36,Will the increase of ticket outage cause staff shortage during tour cancellation?,No,Will the increase of ticket outage cause tour cancellation and the increase of staff shortage cause tour cancellation?,Yes,B_D,ticket outage,staff shortage,tour cancellation
37,Will the increase of smoke odor cause ceiling leak during hallway closure?,No,Will the increase of smoke odor cause hallway closure and the increase of ceiling leak cause hallway closure?,Yes,B_D,smoke odor,ceiling leak,hallway closure
38,Will the increase of freight backlog cause crane failure during port slowdown?,No,Will the increase of freight backlog cause port slowdown and the increase of crane failure cause port slowdown?,Yes,B_D,freight backlog,crane failure,port slowdown
