data,label,X,Y,Z,Classification
Will the increase of transit voucher directly cause adherence consistency during clinic checkups?,No,transit voucher,clinic checkups,adherence consistency,B_D
Will library pass cause the increase of study circles which in turn causes the increase of concept retention?,Yes,library pass,study circles,concept retention,B_D
Will the increase of lab badge directly cause instrument accuracy during calibration runs?,No,lab badge,calibration runs,instrument accuracy,B_D
Will kitchen access cause the increase of cooking trials which in turn causes the increase of flavor judgment?,Yes,kitchen access,cooking trials,flavor judgment,B_D
Will the increase of speaker permit directly cause speech clarity during talk sessions?,No,speaker permit,talk sessions,speech clarity,B_D
Will survey permit cause the increase of field surveys which in turn causes the increase of map accuracy?,Yes,survey permit,field surveys,map accuracy,B_D
Will the increase of studio credits directly cause mix balance during recording takes?,No,studio credits,recording takes,mix balance,B_D
Will desk allocation cause the increase of office hours which in turn causes the increase of grade improvement?,Yes,desk allocation,office hours,grade improvement,B_D
Will the increase of chat allowance directly cause speaking fluency during dialogue turns?,No,chat allowance,dialogue turns,speaking fluency,B_D
Will swim membership cause the increase of lap swims which in turn causes the increase of lung capacity?,Yes,swim membership,lap swims,lung capacity,B_D
Will the increase of archive key directly cause vocabulary growth during reading rounds?,No,archive key,reading rounds,vocabulary growth,B_D
Will debate signup cause the increase of debate rounds which in turn causes the increase of argument clarity?,Yes,debate signup,debate rounds,argument clarity,B_D
Will the increase of garden lease directly cause plant vigor during watering rounds?,No,garden lease,watering rounds,plant vigor,B_D
Will club dues cause the increase of meetup nights which in turn causes the increase of social bonds?,Yes,club dues,meetup nights,social bonds,B_D
Will the increase of conference ticket directly cause networking skill during poster sessions?,No,conference ticket,poster sessions,networking skill,B_D
Will runway access cause the increase of landing drills which in turn causes the increase of pilot confidence?,Yes,runway access,landing drills,pilot confidence,B_D
Will the increase of ride credits directly cause attendance punctuality during commute rides?,No,ride credits,commute rides,attendance punctuality,B_D
Will tool checkout cause the increase of build sessions which in turn causes the increase of hand dexterity?,Yes,tool checkout,build sessions,hand dexterity,B_D
Will the increase of class permit directly cause topic mastery during seminar days?,No,class permit,seminar days,topic mastery,B_D
Will clinic transport cause the increase of rehab visits which in turn causes the increase of mobility improvement?,Yes,clinic transport,rehab visits,mobility improvement,B_D
Will the increase of stage rental directly cause performance poise during staging rehearsals?,No,stage rental,staging rehearsals,performance poise,B_D
Will museum voucher cause the increase of exhibit tours which in turn causes the increase of culture knowledge?,Yes,museum voucher,exhibit tours,culture knowledge,B_D
Will the increase of editor access directly cause draft coherence during revision rounds?,No,editor access,revision rounds,draft coherence,B_D
Will access slots cause the increase of replicate tests which in turn causes the increase of result precision?,Yes,access slots,replicate tests,result precision,B_D
Will the increase of camp registration directly cause focus stamina during study retreats?,No,camp registration,study retreats,focus stamina,B_D
Will ring bookings cause the increase of sparring bouts which in turn causes the increase of reaction speed?,Yes,ring bookings,sparring bouts,reaction speed,B_D
Will the increase of wheel allotment directly cause shape control during pottery throws?,No,wheel allotment,pottery throws,shape control,B_D
