Pair,Causal_Relation_1,Conclusion_1,Causal_Relation_2,Conclusion_2,Classification,X,Y,Z
1,Will the increase of umbrella sales cause traffic jams during monsoon season?,No,Will monsoon season cause the increase of umbrella sales and traffic jams?,Yes,B_D,umbrella sales,traffic jams,monsoon season
2,Will the increase of hiking boot rentals cause rescue drone flights during canyon trek?,No,Will canyon trek cause the increase of hiking boot rentals and rescue drone flights?,Yes,B_D,hiking boot rentals,rescue drone flights,canyon trek
3,Will the increase of accounting software subscriptions cause stress complaints during tax season?,No,Will tax season cause the increase of accounting software subscriptions and stress complaints?,Yes,B_D,accounting software subscriptions,stress complaints,tax season
4,Will the increase of concert program sales cause subway maintenance alerts during jazz festival?,No,Will jazz festival cause the increase of concert program sales and subway maintenance alerts?,Yes,B_D,concert program sales,subway maintenance alerts,jazz festival
5,Will the increase of campus cafeteria sales cause parking violations during university orientation?,No,Will university orientation cause the increase of campus cafeteria sales and parking violations?,Yes,B_D,campus cafeteria sales,parking violations,university orientation
6,Will the increase of astronomy telescope sales cause dark sky complaints during stargazing festival?,No,Will stargazing festival cause the increase of astronomy telescope sales and dark sky complaints?,Yes,B_D,astronomy telescope sales,dark sky complaints,stargazing festival
7,Will the increase of farm equipment rentals cause rural traffic congestion during harvest season?,No,Will harvest season cause the increase of farm equipment rentals and rural traffic congestion?,Yes,B_D,farm equipment rentals,rural traffic congestion,harvest season
8,Will the increase of handmade jewelry sales cause police permit checks during street crafts fair?,No,Will street crafts fair cause the increase of handmade jewelry sales and police permit checks?,Yes,B_D,handmade jewelry sales,police permit checks,street crafts fair
9,Will the increase of car rentals cause highway bottlenecks during commuter rail strike?,No,Will commuter rail strike cause the increase of car rentals and highway bottlenecks?,Yes,B_D,car rentals,highway bottlenecks,commuter rail strike
10,Will the increase of smartphone tripod sales cause lost item claims during outdoor influencer meetup?,No,Will outdoor influencer meetup cause the increase of smartphone tripod sales and lost item claims?,Yes,B_D,smartphone tripod sales,lost item claims,outdoor influencer meetup
11,Will the increase of bicycle commuting cause detour traffic reports during road maintenance?,No,Will road maintenance cause the increase of bicycle commuting and detour traffic reports?,Yes,B_D,bicycle commuting,detour traffic reports,road maintenance
12,Will the increase of seafood stall sales cause food recall warnings during coastal food market week?,No,Will coastal food market week cause the increase of seafood stall sales and food recall warnings?,Yes,B_D,seafood stall sales,food recall warnings,coastal food market week
13,Will the increase of smartphone purchases cause mall crowding complaints during new smartphone launch?,No,Will new smartphone launch cause the increase of smartphone purchases and mall crowding complaints?,Yes,B_D,smartphone purchases,mall crowding complaints,new smartphone launch
14,Will the increase of vintage clothing sales cause storage overflow notices during retro fashion expo?,No,Will retro fashion expo cause the increase of vintage clothing sales and storage overflow notices?,Yes,B_D,vintage clothing sales,storage overflow notices,retro fashion expo
15,Will the increase of hotel conference room bookings cause airport taxi queues during major conference?,No,Will major conference cause the increase of hotel conference room bookings and airport taxi queues?,Yes,B_D,hotel conference room bookings,airport taxi queues,major conference
16,Will the increase of football scarf sales cause train station reroutes during derby rivalry?,No,Will derby rivalry cause the increase of football scarf sales and train station reroutes?,Yes,B_D,football scarf sales,train station reroutes,derby rivalry
17,Will the increase of museum visits cause gallery wait times during art biennale?,No,Will art biennale cause the increase of museum visits and gallery wait times?,Yes,B_D,museum visits,gallery wait times,art biennale
18,Will the increase of solar water heater purchases cause roof leak reports during renewable energy fair?,No,Will renewable energy fair cause the increase of solar water heater purchases and roof leak reports?,Yes,B_D,solar water heater purchases,roof leak reports,renewable energy fair
