Pair,Causal_Relation_1,Conclusion_1,Causal_Relation_2,Conclusion_2,Classification,X,Y,Z
1,Will the increase of transit voucher directly cause adherence consistency during clinic checkups?,No,Will transit voucher cause the increase of clinic checkups which in turn causes the increase of adherence consistency?,Yes,B_D,transit voucher,clinic checkups,adherence consistency
2,Will the increase of library pass directly cause concept retention during study circles?,No,Will library pass cause the increase of study circles which in turn causes the increase of concept retention?,Yes,B_D,library pass,study circles,concept retention
3,Will the increase of lab badge directly cause instrument accuracy during calibration runs?,No,Will lab badge cause the increase of calibration runs which in turn causes the increase of instrument accuracy?,Yes,B_D,lab badge,calibration runs,instrument accuracy
4,Will the increase of kitchen access directly cause flavor judgment during cooking trials?,No,Will kitchen access cause the increase of cooking trials which in turn causes the increase of flavor judgment?,Yes,B_D,kitchen access,cooking trials,flavor judgment
5,Will the increase of speaker permit directly cause speech clarity during talk sessions?,No,Will speaker permit cause the increase of talk sessions which in turn causes the increase of speech clarity?,Yes,B_D,speaker permit,talk sessions,speech clarity
6,Will the increase of survey permit directly cause map accuracy during field surveys?,No,Will survey permit cause the increase of field surveys which in turn causes the increase of map accuracy?,Yes,B_D,survey permit,field surveys,map accuracy
7,Will the increase of studio credits directly cause mix balance during recording takes?,No,Will studio credits cause the increase of recording takes which in turn causes the increase of mix balance?,Yes,B_D,studio credits,recording takes,mix balance
8,Will the increase of desk allocation directly cause grade improvement during office hours?,No,Will desk allocation cause the increase of office hours which in turn causes the increase of grade improvement?,Yes,B_D,desk allocation,office hours,grade improvement
9,Will the increase of chat allowance directly cause speaking fluency during dialogue turns?,No,Will chat allowance cause the increase of dialogue turns which in turn causes the increase of speaking fluency?,Yes,B_D,chat allowance,dialogue turns,speaking fluency
10,Will the increase of swim membership directly cause lung capacity during lap swims?,No,Will swim membership cause the increase of lap swims which in turn causes the increase of lung capacity?,Yes,B_D,swim membership,lap swims,lung capacity
11,Will the increase of archive key directly cause vocabulary growth during reading rounds?,No,Will archive key cause the increase of reading rounds which in turn causes the increase of vocabulary growth?,Yes,B_D,archive key,reading rounds,vocabulary growth
12,Will the increase of debate signup directly cause argument clarity during debate rounds?,No,Will debate signup cause the increase of debate rounds which in turn causes the increase of argument clarity?,Yes,B_D,debate signup,debate rounds,argument clarity
